what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419560370214
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419560370214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560370651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560754355
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1419560761343
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1419560765745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560767593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560774055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560774403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560775417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560780644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560862022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1419560862085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1419560862085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560863459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560927197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560932789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560934773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419560949541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419561045105
activated,perspective,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.PDEPerspective",1419561045386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419561045661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1419561060170
opened,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1419561063522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419561063912
