what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502187259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420502194344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420502194814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502196371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1420502196481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502202512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420502204429
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502206627
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502206628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502207741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502229300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502230752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502232522
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502233366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420502238428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420502238940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502240243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1420502240351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502246732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420502247956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502250411
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502250411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502250945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502252871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502256507
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502256508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502260527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502260676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502261006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502262527
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502263045
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420502263139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502263714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502271424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420502273768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420502274299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502276034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1420502276161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420502282762
