what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420153238133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420153441267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420153441829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420153600096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420153601344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154168049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154168493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154179218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154179893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154767467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154773875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154783374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154792105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154810620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1420154810673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154813802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154908893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154912706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420154951036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1420154951088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1420154951088
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1420154951677
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1420154953754
error,log,,,"",1420154954746
