what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501250900
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501255377
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501255378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501255787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501264937
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501266720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420501269528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420501270094
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501271464
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501271464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501272014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501281796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501283134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501285495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420501289663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420501290759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501297093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501297242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501297549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501299353
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501299754
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501299935
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501300955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501301574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501307934
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501309963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420501312181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420501312692
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501313761
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501313762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501314135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501322404
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501323482
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1420501327387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420501327530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420501329197
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501330395
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501330396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501330852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501337908
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501339377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420501341772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420501342259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501346411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501346533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501346867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501348969
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501349442
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501349554
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501350573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501353408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501353567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501353891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501355333
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501355830
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501355937
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501357579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501358222
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501358223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501358820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501370095
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501371816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420501374149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420501374576
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501375593
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501375593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501376062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501382469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420501385133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420501386560
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501388096
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420501388097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501388453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420501400852
