what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1420476746722
ws,sysinfo,,,"win32",1420476746722
locale,sysinfo,,,"en_GB",1420476746722
processors,sysinfo,,,"2",1420476746722
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1420476746722
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1420476746722
java.specification.name,sysinfo,,,"Java Platform API Specification",1420476746722
java.specification.vendor,sysinfo,,,"Oracle Corporation",1420476746722
java.specification.version,sysinfo,,,"1.8",1420476746722
java.vendor,sysinfo,,,"Oracle Corporation",1420476746722
java.version,sysinfo,,,"1.8.0_25",1420476746722
java.vm.info,sysinfo,,,"mixed mode",1420476746722
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1420476746722
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1420476746722
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1420476746722
java.vm.specification.version,sysinfo,,,"1.8",1420476746722
java.vm.vendor,sysinfo,,,"Oracle Corporation",1420476746722
java.vm.version,sysinfo,,,"25.25-b02",1420476746722
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1420476746722
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1420476746800
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1420476746925
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1420476747019
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1420476747066
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1420476747690
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1420476747830
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1420476747955
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1420476748438
started,bundle,com.android.ide.eclipse.base,23.0.4.1468518,"com.android.ide.eclipse.base",1420476748579
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1420476751559
started,bundle,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.adt",1420476753338
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1420476753712
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1420476753712
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1420476754040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420476754414
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1420476754820
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1420476754991
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1420476755116
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1420476755272
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1420476755475
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1420476755491
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1420476755537
